,Arrival Time,Inter Arrival Time(in minutes),Rounded_Inter_Arrival_Time(min),Time Period,No. of Patients,Arrival_Cumulative,Patients arrival per minutes,Time(According to collecting system length (n),Time Interval,LAMBDA,,Sl. No.,Service Time (IN),Service Time (OUT),AM/PM,Inter-Service Time (In Minutes),Time Period,No. of Patients,No. of Patients Per min.,No. of patients (Cumulative)= Y(t),Time (According to the collection of system length n),Time Interval,Mu,,Time,Queue 1,Queue 2,Queue 3,Queue 4,System Length(n),Total Queue Length,,,,,,time,Patients,t (min),Cumulative Patients  N(t),lambda(t) = N(t)/t,Expected Lambda,lam,, Time Interval,Patients,Patients Interval,Frequency,Cumulative Patients,#############,Service Rate on time,,
1,8:37:28,0,0,8:35 - 8:45,20,20,2,8:35,8:30-8:40,0.6,,1,8:35:00,8:38:00,AM,3,8:35 - 8:45,14,1.4,14,8:35,8:30-8:40,0.4,,8:35,1,2,0,1,10,4,,,,,,8:35 - 8:40,3,5,3,0.6,0.4,0.2,,8:35-8:40,4,0.5-3.5,1,4,5,0.8,,
2,8:37:49,0.35,0.35,8:45 - 8:55,35,55,3.5,8:45,8:40-8:50,3.9,,2,8:36:00,8:39:00,AM,3,8:45 - 8:55,16,1.6,30,8:45,8:40-8:50,1.8,,8:45,0,2,1,1,15,4,,,,,,8:40 - 8:45,17,10,20,2,1.333333333,0.666666667,,8:40-8:45,10,3.5-6.5,12,14,10,1.4,,263
3,8:38:23,0.566666667,0.5667,8:55 - 9:05,22,77,2.2,8:50,8:45-8:55,3.7,,3,8:38:00,8:39:00,AM,1,8:55 - 9:05,16,1.6,46,8:50,8:45-8:55,1.6,,8:50,1,4,2,7,14,14,,,,,,8:45 - 8:50,15,15,35,2.333333333,1.555555555,0.777777778,,8:45-8:50,8,6.5-9.5,21,22,15,1.466666667,,
4,8:40:11,1.8,1.8,9:05 - 9:15,35,112,3.5,9:00,8:55-9:05,2.3,,4,8:38:00,8:40:00,AM,2,9:05 - 9:15,15,1.5,61,9:00,8:55-9:05,1.6,,9:00,2,2,1,3,25,8,,,,,,8:50 - 8:55,20,20,55,2.75,1.833333333,0.916666667,,8:50-8:55,8,9.5-12.5,3,30,20,1.5,,
5,8:40:25,0.233333333,0.2333,9:15 - 9:25,46,158,4.6,9:10,9:05-9:15,3.8,,5,8:39:00,8:41:00,AM,2,9:15 - 9:25,10,1,71,9:10,9:05-9:15,1.5,,9:10,3,3,3,6,30,15,,,,,,8:55 - 9:00,7,25,62,2.48,1.653333333,0.826666667,,8:55-9:00,7,,,37,25,1.48,,
6,8:40:50,0.416666667,0.4167,9:25 - 9:35,69,227,6.9,9:20,9:15-9:25,5,,6,8:39:00,8:42:00,AM,3,9:25 - 9:35,14,1.4,85,9:20,9:15-9:25,1,,9:20,4,4,6,6,40,20,,,,,,9:00 - 9:05,15,30,77,2.566666667,1.711111111,0.855555556,,9:00-9:05,9,,,46,30,1.533333333,,
7,8:41:10,0.333333333,0.3333,9:35 - 9:45,73,300,7.3,9:25,9:20-9:30,7.2,,7,8:40:00,8:42:00,AM,2,9:35 - 9:45,13,1.3,98,9:25,9:20-9:30,1.2,,9:25,3,4,5,6,24,18,,,,,,9:05 - 9:10,17,35,94,2.685714286,1.790476191,0.895238095,,9:05-9:10,7,,,53,35,1.514285714,,
8,8:41:25,0.25,0.25,9:45 - 9:55,50,350,5,9:30,9:25-9:35,7.3,,8,8:40:00,8:42:00,AM,2,9:45 - 9:55,15,1.5,113,9:30,9:25-9:35,1.4,,9:30,3,4,5,12,28,24,,,,,,9:10 - 9:15,18,40,112,2.8,1.866666667,0.933333333,,9:10-9:15,8,,,61,40,1.525,,
9,8:42:27,1.033333333,1.0333,9:55 - 10:05,43,393,4.3,9:35,9:30-9:40,7.7,,9,8:42:00,8:44:00,AM,2,9:55 - 10:05,17,1.7,130,9:35,9:30-9:40,1.3,,9:35,6,9,7,18,45,40,,,,,,9:15 - 9:20,20,45,132,2.933333333,1.955555555,0.977777778,,9:15-9:20,5,,,66,45,1.466666667,,
10,8:42:40,0.216666667,0.2167,10:05 - 10:15,27,420,2.7,9:40,9:35-9:45,8.1,,10,8:42:00,8:43:00,AM,1,10:05 - 10:15,20,2,150,9:40,9:35-9:45,1.3,,9:40,4,12,10,21,60,47,,,,,,9:20 - 9:25,26,50,158,3.16,2.106666667,1.053333333,,9:20-9:25,5,,,71,50,1.42,,
